cluster_id,document_number,relative_path,is_obsolete,last_modified_utc,revision_note,cluster_confidence
6,8.2.2.1.1,8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,False,2024-10-16T20:24:14Z,CURRENT,HIGH
6,8.2.2.1.1,8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,True,2023-09-07T15:23:59Z,OBSOLETE/SUPERSEDED,HIGH
7,8.2.2.1.10,8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.10 Daily Painter Line Up.xlsx,False,2024-10-31T13:25:22Z,CURRENT,HIGH
7,8.2.2.1.10,8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.10 Daily Painter Line Up.xlsx,True,2023-10-31T14:30:19Z,OBSOLETE/SUPERSEDED,HIGH
8,8.2.2.1.11,8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.11 103 Schedule Template.xlsx,False,2025-11-04T20:38:38Z,CURRENT,HIGH
8,8.2.2.1.11,8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.11 103 Schedule Template (Ver 2).xlsx,True,2024-06-04T20:19:25Z,OBSOLETE/SUPERSEDED,HIGH
8,8.2.2.1.11,8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.11 103 Schedule Template.xlsx,True,2024-03-04T19:19:49Z,OBSOLETE/SUPERSEDED,HIGH
8,8.2.2.1.11,Obsolete/8.2.2.1.11 Daily Buffing Tally Sheet Mytox.xlsx,True,2020-02-08T14:05:27Z,OBSOLETE/SUPERSEDED,HIGH
9,8.2.2.1.19,8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.19 Line 103 Paint Pot Lines Cleaning Chart.xlsx,False,2025-11-10T18:09:19Z,CURRENT,LOW
9,8.2.2.1.19,Obsolete/8.2.2.1.19 Line Speed Verification.xls,True,2017-01-02T20:33:24Z,OBSOLETE/SUPERSEDED,LOW
10,8.2.2.1.2,8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.2 Paint Kitchen Temp Log.xls,False,2016-12-16T14:02:41Z,CURRENT,LOW
10,8.2.2.1.2,8.2.2.3 Production Forms by Customer/Obsolete/Obsolete 2025/8.2.2.3.1 BRP/Obsolete/8.2.2.1.2 Truck Load Sheet.xls,True,2024-05-03T19:36:32Z,OBSOLETE/SUPERSEDED,LOW
11,8.2.2.1.20,8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.20 Line 101 Paint Pot Lines Cleaning Chart.xlsx,False,2025-11-10T18:09:36Z,CURRENT,LOW
11,8.2.2.1.20,Obsolete/8.2.2.1.20 Daily Robot Parameters.xlsx,True,2017-05-31T21:11:06Z,OBSOLETE/SUPERSEDED,LOW
12,8.2.2.1.3,8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.3 Daily Paint Booth Cleaning Schedule.xlsx,False,2023-09-18T14:26:37Z,CURRENT,LOW
12,8.2.2.1.3,Obsolete/8.2.2.1.3 Paint Mix Verification Log DPLF.xls,True,2016-10-07T13:30:02Z,OBSOLETE/SUPERSEDED,LOW
13,8.2.2.1.4,8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,False,2025-11-10T18:05:19Z,CURRENT,HIGH
13,8.2.2.1.4,8.2.2.1 Line 101-103 Operating Forms/Review and Update/8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xls,True,2020-08-24T12:42:21Z,OBSOLETE/SUPERSEDED,HIGH
14,8.2.2.1.5,8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.5 101-103 Daily Load Sheet.xlsx,False,2025-08-07T17:41:02Z,CURRENT,HIGH
14,8.2.2.1.5,8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 101-103 Daily Load Sheet (V2).xlsx,True,2024-05-22T20:22:56Z,OBSOLETE/SUPERSEDED,HIGH
14,8.2.2.1.5,8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 101-103 Daily Load Sheet- Ver 1.xlsx,True,2025-01-31T13:33:11Z,OBSOLETE/SUPERSEDED,HIGH
14,8.2.2.1.5,8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 101-103 Daily Load Sheet.xlsx,True,2024-04-26T19:19:32Z,OBSOLETE/SUPERSEDED,HIGH
14,8.2.2.1.5,8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.5 Load Sheet.xlsx,True,2023-11-29T11:08:00Z,OBSOLETE/SUPERSEDED,HIGH
