cluster_id,document_number,relative_path,is_obsolete,last_modified_utc,revision_note,cluster_confidence
26,8.2.2.2.8,8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,True,2025-01-20T14:30:11Z,OBSOLETE/SUPERSEDED,HIGH
26,8.2.2.2.8,Obsolete/Old Forms/8.2.2.2.8 Spyder Intense Red.xls,True,2019-08-19T11:53:19Z,OBSOLETE/SUPERSEDED,HIGH
27,8.2.2.2.9,8.2.2.2 Line 102 Operating Forms/8.2.2.2.9 102 TPM Checklist.xlsx,False,2025-12-10T14:31:59Z,CURRENT,LOW
27,8.2.2.2.9,Obsolete/Old Forms/8.2.2.2.9 Spyder Hyper Silver.xls,True,2016-11-10T15:31:30Z,OBSOLETE/SUPERSEDED,LOW
28,8.2.2.2.5,8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.2.5 102 Rack Burn Off Tracker.xlsx,True,2024-01-08T18:43:38Z,OBSOLETE/SUPERSEDED,LOW
28,8.2.2.2.5,Obsolete/Old Forms/8.2.2.2.5 Evinrude Hyper Silver.xls,True,2016-10-07T16:53:51Z,OBSOLETE/SUPERSEDED,LOW
29,8.2.2.4.10,8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.4.10 102 Line Paint Production Tracking and Line Paint Tracking Sheet.pdf,True,2021-10-01T12:45:51Z,OBSOLETE/SUPERSEDED,LOW
29,8.2.2.4.10,8.2.2.4 Shipping Forms/Obsolete/8.2.2.4.10 Mitchell Plastics Packslip Template.xlsx,True,2024-01-02T18:54:39Z,OBSOLETE/SUPERSEDED,LOW
30,8.2.2.4.2,8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.4.2 102 Line Paint Production Tracking.xlsx,True,2022-02-24T19:37:10Z,OBSOLETE/SUPERSEDED,LOW
30,8.2.2.4.2,8.2.2.4 Shipping Forms/8.2.2.4.2 P2 General Pack Slip Template.xls,False,2024-01-02T19:57:32Z,CURRENT,LOW
31,8.2.2.4.4,8.2.2.2 Line 102 Operating Forms/Obsolete/8.2.2.4.4 102 Line Loaded Parts Tracking.xlsx,True,2024-01-08T18:53:36Z,OBSOLETE/SUPERSEDED,LOW
31,8.2.2.4.4,8.2.2.4 Shipping Forms/8.2.2.4.4 P2 Monthly Totals Template.xlsx,False,2023-11-29T16:08:36Z,CURRENT,LOW
32,8.2.2.3.2.1,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/8.2.2.3.2.1 Rollstamp BMW G07 Inspection.xlsx,False,2026-02-17T14:12:11Z,CURRENT,HIGH
32,8.2.2.3.2.1,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.3.2.1 BMW Inspection.xlsx,True,2023-10-26T12:07:48Z,OBSOLETE/SUPERSEDED,HIGH
32,8.2.2.3.2.1,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.3.2.1 Rollstamp BMW G07 Inspection(V2).xlsx,True,2024-09-04T20:13:54Z,OBSOLETE/SUPERSEDED,HIGH
32,8.2.2.3.2.1,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.3.2.1 Rollstamp BMW G07 Inspection.xlsx,True,2023-12-15T16:49:19Z,OBSOLETE/SUPERSEDED,HIGH
33,8.2.2.2.41,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.41 Tesla REVISED.xlsx,True,2024-05-10T18:54:12Z,OBSOLETE/SUPERSEDED,HIGH
33,8.2.2.2.41,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.41 Tesla.xlsx,True,2023-01-02T19:11:52Z,OBSOLETE/SUPERSEDED,HIGH
33,8.2.2.2.41,Obsolete/Old Forms/8.2.2.2.41 Tesla Inspection old.xlsx,True,2022-10-20T11:49:15Z,OBSOLETE/SUPERSEDED,HIGH
34,8.2.2.2.42,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.42 Tesla Buff Inspection revised.xlsx,True,2023-06-09T14:19:57Z,OBSOLETE/SUPERSEDED,HIGH
34,8.2.2.2.42,8.2.2.3 Production Forms by Customer/8.2.2.3.2 Rollstamp/Obsolete/8.2.2.2.42 Tesla Buff Inspection.xlsx,True,2023-01-02T19:15:57Z,OBSOLETE/SUPERSEDED,HIGH
