relative_path,document_number,filename,category,line,customer,file_type,parse_status,last_modified_utc,size_kb,sheet_count,is_obsolete,included_in_zip,requires_separate_upload,is_stale,platform_entity_map,mapping_confidence
8.2.2.7 Daily Sanding Tally Sheet.xlsx,8.2.2.7,8.2.2.7 Daily Sanding Tally Sheet.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2026-02-05T17:59:10Z,18.3,2,False,True,False,False,,
8.2.2.8 Daily Buffing Tally Sheet.xlsx,8.2.2.8,8.2.2.8 Daily Buffing Tally Sheet.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2026-02-05T17:54:30Z,28.0,3,False,True,False,False,,
8.2.2.9 Daily Deburring Tally Sheet.xlsx,8.2.2.9,8.2.2.9 Daily Deburring Tally Sheet.xlsx,PRODUCTION TRACKING,General,,xlsx,Readable,2023-07-24T18:46:39Z,18.0,2,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,8.2.2.1.1,8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2024-10-16T20:24:14Z,47.3,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.10 Daily Painter Line Up.xlsx,8.2.2.1.10,8.2.2.1.10 Daily Painter Line Up.xlsx,SCHEDULING / LABOR,Line 101-103,,xlsx,Readable,2024-10-31T13:25:22Z,3288.4,1,False,False,True,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.11 103 Schedule Template.xlsx,8.2.2.1.11,8.2.2.1.11 103 Schedule Template.xlsx,PRODUCTION TRACKING,Line 101-103,,xlsx,Readable,2025-11-04T20:38:38Z,92.4,11,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.16 Oven Verification Log.xls,8.2.2.1.16,8.2.2.1.16 Oven Verification Log.xls,PROCESS CONTROL,Line 101-103,,xls,Readable,2016-12-16T15:27:18Z,137.5,2,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.18 Daily Paint Tally Sheet.xls,8.2.2.1.18,8.2.2.1.18 Daily Paint Tally Sheet.xls,PRODUCTION TRACKING,Line 101-103,,xls,Readable,2024-03-15T15:56:13Z,213.5,2,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.19 Line 103 Paint Pot Lines Cleaning Chart.xlsx,8.2.2.1.19,8.2.2.1.19 Line 103 Paint Pot Lines Cleaning Chart.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2025-11-10T18:09:19Z,16.0,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.2 Paint Kitchen Temp Log.xls,8.2.2.1.2,8.2.2.1.2 Paint Kitchen Temp Log.xls,LAB / CHEMISTRY,Line 101-103,,xls,Readable,2016-12-16T14:02:41Z,146.5,3,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.20 Line 101 Paint Pot Lines Cleaning Chart.xlsx,8.2.2.1.20,8.2.2.1.20 Line 101 Paint Pot Lines Cleaning Chart.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2025-11-10T18:09:36Z,16.7,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.3 Daily Paint Booth Cleaning Schedule.xlsx,8.2.2.1.3,8.2.2.1.3 Daily Paint Booth Cleaning Schedule.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2023-09-18T14:26:37Z,17.6,1,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,8.2.2.1.4,8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,MAINTENANCE / PM,Line 101-103,,xlsx,Readable,2025-11-10T18:05:19Z,18.8,2,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.5 101-103 Daily Load Sheet.xlsx,8.2.2.1.5,8.2.2.1.5 101-103 Daily Load Sheet.xlsx,PRODUCTION TRACKING,Line 101-103,,xlsx,Readable,2025-08-07T17:41:02Z,21.0,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.6 101 Schedule Template.xlsx,8.2.2.1.6,8.2.2.1.6 101 Schedule Template.xlsx,PRODUCTION TRACKING,Line 101-103,,xlsx,Readable,2025-12-12T16:27:42Z,93.1,11,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.7 Daily Painter Schedule.xlsx,8.2.2.1.7,8.2.2.1.7 Daily Painter Schedule.xlsx,SCHEDULING / LABOR,Line 101-103,,xlsx,Readable,2024-11-06T10:33:32Z,21.2,1,False,True,False,False,,
8.2.2.1 Line 101-103 Operating Forms/8.2.2.1.9 Daily Down Time.xlsx,8.2.2.1.9,8.2.2.1.9 Daily Down Time.xlsx,PRODUCTION TRACKING,Line 101-103,,xlsx,Readable,2023-06-27T11:45:39Z,40.8,2,False,True,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/101-103 Rack burn off schedule.xlsx,,101-103 Rack burn off schedule.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2022-08-03T19:53:31Z,73.4,4,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/101-103 Schedule Template.xlsx,,101-103 Schedule Template.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-06-09T16:52:04Z,133.3,11,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,8.2.2.1.1,8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-09-07T15:23:59Z,46.3,1,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.10 Daily Painter Line Up.xlsx,8.2.2.1.10,8.2.2.1.10 Daily Painter Line Up.xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2023-10-31T14:30:19Z,3294.6,2,True,False,False,True,,
8.2.2.1 Line 101-103 Operating Forms/Obsolete/8.2.2.1.11 103 Schedule Template (Ver 2).xlsx,8.2.2.1.11,8.2.2.1.11 103 Schedule Template (Ver 2).xlsx,DOCUMENT CONTROL,Line 101-103,,xlsx,Readable,2024-06-04T20:19:25Z,122.5,11,True,False,False,False,,
