group_type,group_key,file_count,files,review_note
document_number,8.2.1.2.11,2,8.2.1.2 ECoat Line Forms\8.2.1.2.11 Daily Lab Analysis Template -edit .xlsx | 8.2.1.2 ECoat Line Forms\8.2.1.2.11 Daily Lab Analysis Template.xlsx,Multiple files share the same document number; verify active revision and superseded copies.
document_number,8.2.1.3.34.1,2,8.2.1.3 Inspection and Testing Forms and Labels\8.2.1.3.34 GLDC\8.2.1.3.34.1 Great Lakes Die Cast 003601-30BL inpsection Record.xlsx | 8.2.1.3 Inspection and Testing Forms and Labels\8.2.1.3.34 GLDC\DAILY UPDATE 8.2.1.3.34.1 Great Lakes Die Cast 003601-30BL inpsection Record.xlsx,Multiple files share the same document number; verify active revision and superseded copies.
normalized_title,daily inventory report,2,8.2.1.3 Inspection and Testing Forms and Labels\8.2.1.3.34 GLDC\ARCHIVE\Daily Inventory Report.08.20.2025.xlsx | 8.2.1.3 Inspection and Testing Forms and Labels\8.2.1.3.34 GLDC\ARCHIVE\Daily Inventory Report.xlsx,Potential duplicate/variant naming cluster; compare content overlap and revision status.
normalized_title,daily lab analysis template,2,8.2.1.2 ECoat Line Forms\8.2.1.2.11 Daily Lab Analysis Template -edit .xlsx | 8.2.1.2 ECoat Line Forms\8.2.1.2.11 Daily Lab Analysis Template.xlsx,Potential duplicate/variant naming cluster; compare content overlap and revision status.
normalized_title,great lakes die cast 003601 30bl inpsection record,2,8.2.1.3 Inspection and Testing Forms and Labels\8.2.1.3.34 GLDC\8.2.1.3.34.1 Great Lakes Die Cast 003601-30BL inpsection Record.xlsx | 8.2.1.3 Inspection and Testing Forms and Labels\8.2.1.3.34 GLDC\DAILY UPDATE 8.2.1.3.34.1 Great Lakes Die Cast 003601-30BL inpsection Record.xlsx,Potential duplicate/variant naming cluster; compare content overlap and revision status.
